"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YBL002W",325.474567140991,0.754838299975048,0.10595612094762,7.12406506791815,1.0478953411985e-12,1.14554388741425e-10
"YBL003C",590.503873671535,0.816853630443085,0.0783394037613824,10.4271106393811,1.86472492526983e-25,1.00000000000004e-10
"YBL004W",117.305932498931,0.0173028872547056,0.165545051628072,0.10452071556678,0.916756129669672,0.953446664653169
"YBL005W",62.0539339542757,-0.871205163345,0.232559576312561,-3.74615905807335,0.000179562763438856,0.00107948242732592
"YBL005W-A",14.3639443199265,6.70688328519509,1.23962494451867,5.41041329867664,6.28794604599252e-08,6.13555497462834e-07
"YBL005W-B",229.572090427921,-2.40677871708843,0.352926232028172,-6.81949512014825,9.13610169857953e-12,2.19255734903449e-10
"YBL006C",183.614871511312,-0.512009268113299,0.134758267514106,-3.79946460843083,0.000145009017898997,0.000892692078092187
"YBL007C",464.844028867423,-0.386270538236551,0.0849304538562066,-4.54808046699639,5.41374371152429e-06,4.17051557230676e-05
"YBL008W",36.1220279001402,0.340431605314594,0.312277755647337,1.09015643656365,0.275644239393027,0.456626870234336
"YBL008W-A",0.359739260307235,-1.18385533919708,2.97140477507798,-0.398416045207441,0.690323532459795,NA
"YBL009W",31.5254651428941,0.472193929121803,0.33001658582461,1.43081878124984,0.152482158949892,0.300961461184508
"YBL010C",26.3170501303401,0.485904248164617,0.358001997189702,1.3572668643721,0.17469643187525,0.331576297422293
"YBL011W",220.408098096041,0.0788946092546709,0.125409557843247,0.629095665525616,0.52928642798812,0.697184341941861
"YBL013W",6.91981756664074,-0.233674410000768,0.679995151258652,-0.343641288571313,0.731116069803489,0.840865494210111
"YBL014C",34.8318241624918,-0.25192090505492,0.319909842507487,-0.787474693120843,0.431004037148292,0.6129262600175
"YBL015W",173.708735920415,0.345060056308491,0.140051530707469,2.46380781820394,0.0137469798280736,0.0470803826858511
"YBL016W",64.3129401295752,-0.178524944620191,0.226695990084517,-0.787508171422145,0.430984446843781,0.6129262600175
"YBL017C",358.995980917328,-0.0749730147171737,0.0958325707462803,-0.782333335455093,0.434018700754543,0.616077397066836
"YBL018C",37.0437337336912,-0.220307786429267,0.296744110322753,-0.742416711117364,0.457834897701624,0.636835468313976
"YBL019W",30.6480715403005,0.400813412219325,0.331133738560664,1.21042758723873,0.226114861422405,0.397835165017611
"YBL020W",66.480093545359,0.334706767545133,0.22692853346674,1.47494350944717,0.140227731507259,0.283420852418793
"YBL021C",49.9017642919019,-0.312787364491253,0.260795382176115,-1.19935929034214,0.230388269870717,0.403716424525411
"YBL022C",230.338198295568,-0.406922918669793,0.119970288753789,-3.39186412649976,0.000694188555103768,0.00367561443073254
"YBL023C",80.8971452981282,0.150113788460248,0.211094065103374,0.711122732828778,0.477008184027457,0.654464513416504
